noun	gender	count
analysant	m	1379
analyse	f	932956
analyse	m	585
analyseur	m	7722
analyste	f	1042
analyste	m	14286
analytique	f	3220
anamnèse	f	2876
anamorphose	f	1454
ananas	m	811
anaphore	f	3473
anaphorique	m	825
anarchie	f	6215
anarchisme	m	1654
anarchiste	m	4107
anastomose	f	1599
anathème	m	1000
anatomie	f	4622
anatomiste	m	1032
anche	f	725
ancienneté	f	10445
ancrage	m	24481
ancre	f	5887
ancêtre	f	881
ancêtre	m	29306
andante	m	590
anecdote	f	42191
anesthésie	f	10095
anesthésique	m	2009
anesthésiste	m	1167
anfractuosité	f	1716
ange	m	57619
angelot	m	925
angine	f	3482
angiographie	f	1000
angioplastie	f	892
anglais	m	9591
angle	m	111345
anglicisme	m	2393
anglophone	m	1129
angoisse	f	42666
angor	m	860
anguille	f	1554
angulation	f	956
angustia	f	687
angélisme	m	1161
animal	m	161323
animalité	f	1777
animateur	m	15106
animation	f	18158
animatrice	f	2382
animisme	m	990
animosité	f	4040
animé	m	1529
anion	m	635
anisotropie	f	1310
ankylose	f	801
anneau	m	30058
annexe	f	31272
annexion	f	5783
annihilation	f	1053
anniversaire	m	9076
anno	m	1029
annonce	f	26399
annonceur	m	1672
annonciation	f	633
annotation	f	4925
annuaire	m	9373
annuité	f	1841
annulation	f	12612
année	f	389943
année	m	683
années	f	1608
anoblissement	m	735
anode	f	968
anomalie	f	40941
anomie	f	1233
anonymat	m	3829
anonyme	m	1877
anorak	m	684
anorexie	f	2427
anormalité	f	886
anoxie	f	825
ans	m	51918
anse	f	9864
antagonisme	m	15531
antagoniste	m	3131
antalgique	m	1110
antenne	f	22535
anterior	f	526
anthologie	f	27168
anthropocentrisme	m	1193
anthropologie	f	58554
anthropologue	f	1311
anthropologue	m	8516
anthropomorphisme	m	1926
anthroponyme	m	1021
anti	f	1086
anti	m	2812
antiaméricanisme	m	805
antibiogramme	m	649
antibioprophylaxie	f	654
antibiothérapie	f	6077
antibiotique	m	4253
anticapitalisme	m	594
antichambre	f	4280
anticipation	f	22222
anticlinal	m	654
anticléricalisme	m	4611
anticoagulant	m	713
anticoagulation	f	608
anticolonialisme	m	883
anticommunisme	m	3074
anticommuniste	m	693
anticorps	m	6263
anticyclone	m	906
antidote	m	7706
antidépresseur	m	1921
antienne	f	2135
antifascisme	m	849
antifasciste	m	651
antigua	f	1400
antigène	m	6098
antihéros	m	523
antijudaïsme	m	906
antilope	f	2768
antimilitarisme	m	786
antinomie	f	7763
antiparlementarisme	m	624
antipathie	f	3195
antiphrase	f	1134
antiquaire	m	3916
antique	f	2027
antique	m	1301
antiquité	f	3760
antiracisme	m	657
antiseptique	m	2064
antisémite	m	2943
antisémitisme	m	12259
antithèse	f	5890
antivirus	m	621
antonyme	m	821
antre	m	2586
antropología	f	528
antécédence	f	587
antécédent	m	9496
antérieur	m	1050
antérieure	f	633
antériorité	f	8727
anus	m	880
anxiolytique	m	740
anxiété	f	9611
análisis	m	1482
anéantissement	m	4654
anémie	f	7496
anémone	f	555
anévrisme	m	1915
anévrysme	m	802
août	m	722
apaisement	m	10099
apanage	m	2301
aparición	f	2756
apariencia	f	511
apartheid	m	1609
aparté	m	2247
apathie	f	2986
apatride	m	1379
aperception	f	1974
apertura	f	1339
aperçu	m	108840
apex	m	798
aphasie	f	2596
aphasique	m	527
aphorisme	m	4409
aphrodisiaque	m	657
apiculteur	m	1308
aplanissement	m	688
aplasie	f	663
aplat	m	621
aplatissement	m	2323
aplicación	f	1992
aplomb	m	2857
apnée	f	1100
apocalypse	f	4338
apocryphe	m	891
apogée	f	1455
apogée	m	2704
apolitique	m	996
apolitisme	m	1220
apologie	f	17157
apologiste	m	1146
apologue	m	2319
apologétique	f	2851
apoplexie	f	902
aporie	f	8515
apostasie	f	1266
apostat	m	1350
apostille	f	669
apostolat	m	4521
apostrophe	f	3919
apothicaire	m	2928
apothéose	f	5769
apparat	m	3181
apparatchik	m	1065
appareil	m	157672
appareillage	m	11720
apparence	f	61231
apparent	m	1828
apparentement	m	962
appariement	m	1788
appariteur	m	539
apparition	f	25596
appartement	m	76408
appartenance	f	34530
appauvrissement	m	20862
appel	m	274491
appellatif	m	544
appellation	f	17716
appendice	m	16675
appendicectomie	f	503
appendicite	f	1814
appentis	m	2608
applaudissement	m	823
applicabilité	f	874
application	f	170621
appoint	m	9501
appontement	m	1226
apport	m	105443
apporteur	m	803
apposition	f	2656
apprenant	m	5065
apprenti	m	9000
apprentie	f	730
apprentissage	m	84305
apprivoisement	m	627
approbation	f	20083
approche	f	685156
approche	m	523
approfondissement	m	35172
appropriation	f	33533
approvisionnement	m	19554
approximation	f	23352
appréciation	f	92697
appréhension	f	29341
apprêt	m	589
appui	m	93750
appât	m	3702
appétence	f	1429
appétit	m	13328
apraxie	f	962
aprèsmidi	m	1627
aptitude	f	25954
apurement	m	916
apéritif	m	3783
apôtre	m	7298
aquaculture	f	588
aquarelle	f	5726
aquarium	m	5304
aqueduc	m	5383
aquifère	m	1954
ar	m	711
arabe	m	4222
arabesque	f	1607
arabisant	m	607
arabisation	f	1666
araignée	f	8137
araire	m	1019
arbalète	f	1139
arbitrage	m	33582
arbitraire	m	5375
arbitre	m	25705
arborescence	f	3763
arbre	m	188907
arbrisseau	m	1592
arbuste	m	6309
arc	m	54422
arcade	f	5017
arcature	f	1565
arceau	m	1180
archange	m	1709
archaïsme	m	7651
arche	f	8089
archer	m	2203
archet	m	2138
archevêché	m	983
archevêque	m	4591
archi	f	605
archi	m	561
archidiacre	m	604
archiduc	m	631
archiduchesse	f	605
archipel	m	9101
architecte	f	552
architecte	m	39088
architectonique	f	1273
architecture	f	82110
architrave	f	962
archivage	m	1265
archive	f	4127
archiviste	m	2858
archivolte	f	753
archéologie	f	15533
archéologue	m	6463
archétype	m	12805
ardent	m	13864
ardente	f	3582
ardeur	f	16334
ardoise	f	3622
are	m	615
aree	m	591
arena	f	992
argent	m	4186
argile	f	5501
argot	m	1957
argument	m	151164
argumentaire	m	10232
argumentation	f	54491
aria	f	843
aridité	f	1136
aristocracia	f	521
aristocrate	f	2346
aristocrate	m	10933
aristocratie	f	26259
aristotélicien	m	570
aristotélisme	m	1064
arithmétique	f	3415
armada	f	3695
armateur	m	5655
armature	f	14123
arme	f	134013
armement	m	15031
armi	m	539
armistice	m	15017
armoire	f	21910
armure	f	7088
armurerie	f	520
armurier	m	1500
armée	f	217362
arnaque	f	815
arpent	m	5250
arpentage	m	887
arpenteur	m	1581
arpège	m	606
arquebuse	f	686
arquitectura	f	1226
arrachage	m	516
arrachement	m	6466
arracheur	m	659
arrangement	m	18940
arrest	m	508
arrestation	f	9674
arret	m	504
arrimage	m	1050
arrivage	m	1028
arriviste	m	1432
arrivée	f	10550
arrière	f	9819
arrière	m	30786
arrièreplan	m	774
arriération	f	796
arriéré	m	2299
arrogance	f	3497
arrondi	m	1078
arrondissement	m	8875
arrosage	m	2084
arrosoir	m	1462
arrêt	m	224711
arrêté	m	108503
ars	m	778
arsenal	m	29282
art	f	681
art	m	275504
arte	m	773
artefact	m	12645
arthrite	f	1753
arthrodèse	f	1891
arthroplastie	f	796
arthrose	f	2755
arti	m	1069
artichaut	m	672
article	m	635429
articles	m	983
articulación	f	614
articulateur	m	835
articulation	f	44410
artifice	m	21935
artificialisation	f	569
artillerie	f	5267
artilleur	m	1996
artisan	m	28020
artisanat	m	10083
artiste	f	8619
artiste	m	117862
